Nama Herbal,Khasiat,Saran Penyajian
Andong,"Andong memiliki berbagai khasiat, salah satunya adalah mengatasi wasir. Kandungan tanin, saponin, dan flavonoid dalam andong memiliki efek antiinflamasi, antibakteri, dan astringen. Efek antiinflamasi dapat membantu meredakan peradangan pada pembuluh darah di anus, sedangkan efek antibakteri dan astringen dapat membantu membunuh bakteri penyebab infeksi dan mengecilkan pembuluh darah yang bengkak.","3 helai daun andong segar, 7 helai daun wungu segar dan air matang secukupnya. Dipipis. Diminum 2 kali sehari, pagi dan sore, tiap kali minum 1⁄4 cangkir. Diulangi selama 14 hari."
Angsana,Angsana (Pterocarpus indicus) mengandung senyawa flavonoid dan saponin yang memiliki sifat diuretik dan antiinflamasi. Sifat-sifat ini dapat membantu melancarkan buang air kecil dan mengurangi peradangan pada ginjal.,"3 gram kulit kayu angsana, 2 gram daun kecibeling, 4 gram daun kumis kucing dan 115 ml air. Diseduh. Diminum 1 kali sehari 100 ml. Bila batu telah keluar, baik berupa kristal maupun air kencing yang keruh atau air kencing yang berbuih maka pemberian jamu dihentikan. Kemudian dilanjutkan minum teh daun kumis kucing 6% dalam air."
Angsana,Angsana (Pterocarpus indicus) mengandung senyawa flavonoid dan saponin yang memiliki sifat antibakteri dan antiinflamasi. Sifat-sifat ini dapat membantu melawan bakteri penyebab sariawan dan mengurangi peradangan pada mulut.,"4 gram Kulit kayu angsana, 4 gram daun saga segar, 3 helai daun sirih segar dan 115 ml Air. Diseduh. Bila diperlukan tambahkan 10 gram gips pada beningan, didiamkan beberapa saat, lalu disaring dan diambil bagian beningnya. Dipakai untuk kumur, tiap 3 jam sekali, tiap kali pakai 50 ml, bila perlu dapat diencerkan dengan air."
Angsana,Angsana (Pterocarpus indicus) mengandung senyawa saponin yang memiliki sifat antiinflamasi dan antibakteri. Sifat-sifat ini dapat membantu mengurangi peradangan dan melawan bakteri penyebab bisul.,Bisul dicuci dengan air bersih atau alkohol 70%. Kemudian daun angsana diremas dan ditempelkan pada bisul tersebut. Diperbaharui tiap 3 jam sekali.
Asam,"Asam (Tamarindus indica) mengandung senyawa flavonoid, saponin, dan tanin yang memiliki sifat antiinflamasi, antispasmodik, dan bronkodilator. Sifat-sifat ini dapat membantu mengurangi peradangan, merelaksasi otot bronkus, dan melebarkan saluran pernapasan.","2 potong kulit pohon asam jawa, adas pulawaras secukupnya. Direbus dengan 1 liter air sampai mendidih, kemudian disaring. Diminum 2 kali sehari."
Asam,"Asam (Tamarindus indica) mengandung senyawa flavonoid, saponin, dan tanin yang memiliki sifat ekspektoran dan antiinflamasi. Sifat-sifat ini dapat membantu mengencerkan dahak dan mengurangi peradangan pada tenggorokan.","3 potong buah asam jawa, ½  genggam daun saga. Direbus dengan 4 gelas air mendidih hingga tinggal 1 gelas dan disaring. Diminum 2 kali sehari, pagi dan sore."
Asam,"Asam (Tamarindus indica) mengandung senyawa flavonoid, saponin, dan tanin yang memiliki sifat antipiretik. Sifat ini dapat membantu menurunkan suhu tubuh saat demam.","1 genggam daun asam jawa, adas pulawaras secukupnya. Direbus dengan ½  liter air sampai mendidih, kemudian disaring. Diminum 2 kali sehari, pagi dan sore."
Asam,"Asam (Tamarindus indica) mengandung senyawa flavonoid, saponin, dan tanin yang memiliki sifat antipiretik, antiinflamasi, dan analgesik. Sifat-sifat ini dapat membantu menurunkan suhu tubuh, mengurangi peradangan, dan meredakan nyeri saat sakit panas.","2 potong buah asam jawa yang telah masak, garam secukupnya. Diseduh dengan 1 gelas air panas, kemudian disaring. Diminum biasa. Catatan: bagi ibu hamil tidak boleh minum resep ini"
Asam,"Asam (Tamarindus indica) mengandung senyawa flavonoid, saponin, dan tanin yang memiliki sifat antiinflamasi dan analgesik. Sifat-sifat ini dapat membantu mengurangi peradangan dan meredakan nyeri pada sendi yang disebabkan oleh rematik.","2 genggam daun asam jawa, 2-3 biji asam jawa, ditumbuk halus, dipakai untuk kompres bagian yang sakit."
Asam,"Asam (Tamarindus indica) mengandung senyawa flavonoid, saponin, dan tanin yang memiliki sifat antiinflamasi, antispasmodik, dan pencahar. Sifat-sifat ini dapat membantu mengurangi peradangan, merelaksasi otot polos saluran pencernaan, dan melancarkan buang air besar, yang dapat membantu meredakan sakit perut.","3 potong buah asam jawa, 1 potong gula aren, kedua bahan tersebut diseduh dengan 1 gelas air panas, kemudian disaring, diminum biasa."
Asam,"Asam (Tamarindus indica) mengandung senyawa flavonoid, saponin, dan tanin yang memiliki sifat antiinflamasi, antipiretik, dan imunostimulan. Sifat-sifat ini dapat membantu mengurangi peradangan, menurunkan suhu tubuh, dan meningkatkan sistem kekebalan tubuh, yang dapat membantu meredakan gejala morbili.","1-2 potong buah asam jawa yang telah masak, 2 rimpang kunyit sebesar ibu jari. kunyit diparut kemudian kedua bahan tersebut dicampur sampai merata. digunakan sebagai bedak/obat gosok bagi penderita morbili."
Asam,"Asam (Tamarindus indica) mengandung senyawa flavonoid, saponin, dan tanin yang memiliki sifat antihistamin, antiinflamasi, dan imunostimulan. Sifat-sifat ini dapat membantu mengurangi produksi histamin, mengurangi peradangan, dan meningkatkan sistem kekebalan tubuh, yang dapat membantu meredakan gejala alergi.","2-3 potong buah asam jawa yang telah tua, garam secukupnya, 1⁄4 sdt kapur sirih. semua bahan tersebut direbus dengan 3 gelas air sampai mendidih hingga tinggal 2 gelas dan disaring. diminum 2 kali sehari, pagi dan sore."
Asam,"Asam (Tamarindus indica) mengandung senyawa tanin yang memiliki sifat antiinflamasi dan antibakteri. Sifat-sifat ini dapat membantu mengurangi peradangan dan membunuh bakteri penyebab sariawan, yang dapat membantu meredakan gejala sariawan.","2 potong buah asam jawa, 2 rimpang temulawak sebesar ibu jari, 1 potong gula kelapa. semua bahan tersebut direbus sampai mendidih hingga tinggal 1 gelas, kemudian disaring. diminum biasa."
Asam,"Asam (Tamarindus indica) mengandung senyawa tanin yang memiliki sifat antiinflamasi dan antibakteri. Senyawa-senyawa ini dapat membantu mengurangi peradangan dan membunuh bakteri penyebab infeksi, yang dapat membantu mempercepat penyembuhan luka baru",daun asam jawa secukupnya dikunyah sampai lumat. ditempelkan pada luka.
Asam,"Asam (Tamarindus indica) mengandung senyawa tanin yang memiliki sifat antiinflamasi, antibakteri, dan antimikroba. Senyawa-senyawa ini dapat membantu mengurangi peradangan, membunuh bakteri dan mikroba penyebab infeksi, serta mempercepat proses penyembuhan luka borok.","beberapa biji asam jawa ditumbuk halus. ditempelkan pada luka, kemudian diperban."
Asam,"Asam (Tamarindus indica) mengandung senyawa tanin yang memiliki sifat antiinflamasi, antibakteri, dan antimikroba. Senyawa-senyawa ini dapat membantu mengurangi peradangan, membunuh bakteri dan mikroba penyebab infeksi, serta mengurangi rasa gatal dan nyeri pada eksim dan bisul.","1 genggam daun asam jawa yang masih muda, 2 rimpang kunyit sebesar ibu jari, ditumbuk sampai halus, kemudian ditempelkan pada bagian yang sakit."
Asam,"Asam (Tamarindus indica) mengandung senyawa tanin yang memiliki sifat antiinflamasi dan antihistamin. Senyawa-senyawa ini dapat membantu mengurangi peradangan dan pembengkakan, serta meredakan gatal dan nyeri pada bengkak disengat binatang berbisa.","3-5 biji asam jawa dan minyak kayu putih secukupnya ditumbuk halus. bagian yang bengkak dibersihkan terlebih dahulu dengan kain yang dibasahi dengan minyak kayu putih, kemudian ditaburi/ditempeli dengan bubukan biji asam jawa tersebut."
Asam,"Asam (Tamarindus indica) mengandung senyawa tanin yang memiliki sifat antiinflamasi dan antioksidan. Senyawa-senyawa ini dapat membantu mengurangi peradangan pada kulit kepala, meningkatkan sirkulasi darah ke akar rambut, dan melindungi rambut dari kerusakan.","beberapa biji asam jawa ditumbuk sampai halus. sebelum keramas dengan sampo, kepala dipijat terlebih dahulu dengan tumbukan biji asam."
Awar-Awar,"Kandungan flavonoid, tanin, dan saponin dalam awar-awar memiliki efek antibakteri dan antiinflamasi yang dapat membantu mengatasi bisul. Efek antibakteri dapat membantu membunuh bakteri penyebab bisul, sedangkan efek antiinflamasi dapat membantu meredakan peradangan dan nyeri.","5 lembar daun dicuci dan digiling halus; ditambah garam secukupnya, kemudian digunakan sebagai kompres pada bisul (1-2 kali sehari)."
Bandotan,"Kandungan flavonoid, tanin, dan saponin dalam bandotan memiliki efek antiinflamasi, antibakteri, dan antihistamin yang dapat membantu mengatasi radang telinga tengah. Efek antiinflamasi dapat membantu meredakan peradangan di telinga tengah, sedangkan efek antibakteri dan antihistamin dapat membantu membunuh bakteri penyebab infeksi dan mengurangi produksi histamin yang menyebabkan alergi.","Cuci herba bandotan segar secukupnya, lalu tumbuk sampai halus. Peras dan saring. Gunakan air perasan yang terkumpul untuk obat tetes telinga. Sehari 4 kali, setiap kali pengobatan sebanyak 2 tetes."
Bandotan,"Bandotan adalah tanaman herbal yang telah lama digunakan sebagai obat tradisional untuk berbagai macam penyakit, termasuk luka berdarah, bisul, dan eksim. Kandungan tanin dan saponin dalam bandotan memiliki sifat antiinflamasi, antibakteri, dan antiseptik, yang dapat membantu mengurangi peradangan, membunuh bakteri dan mikroba penyebab infeksi, serta mencegah infeksi pada luka.","Cuci herba bandotan segar secukupnya sampai bersih, lalu tumbuk sampai halus. Turapkan ramuan ke bagian tubuh yang sakit, lalu balut dengan perban. Dalam sehari, ganti balutan 3-4 kali. Lakukan pengobatan ini sampai sembuh."
Bandotan,"Bandotan (Ageratum conyzoides) adalah tanaman herbal yang telah lama digunakan sebagai obat tradisional untuk berbagai macam penyakit, termasuk bisul dan borok. Kandungan tanin dan saponin dalam bandotan memiliki sifat antiinflamasi, antibakteri, dan antimikroba, yang dapat membantu mengurangi peradangan, membunuh bakteri dan mikroba penyebab infeksi, serta membantu mempercepat penyembuhan bisul dan borok.","Cuci satu tumbuhan herba bandotan segar sampai bersih. Tambahkan sekepal nasi basi dan seujung sendok teh garam, lalu giling sampai halus. Turapkan ke tempat yang sakit, lalu balut dengan perban."
Bandotan,"Kandungan flavonoid, tanin, dan saponin dalam bandotan memiliki efek antiinflamasi, antibakteri, dan analgesik yang dapat membantu mengatasi rematik. Efek antiinflamasi dapat membantu meredakan peradangan pada sendi, sedangkan efek antibakteri dan analgesik dapat membantu membunuh bakteri penyebab infeksi dan meredakan nyeri.","Sediakan satu genggam daun dan batang muda tumbuhan bandotan segar, satu kepal nasi basi, dan 1⁄2 sendok teh garam. Selanjutnya, cuci daun dan batang muda sampai bersih, lalu tumbuk bersama nasi dan garam. Setelah menjadi adonan seperti bubur kental, turapkan ramuan ke bagian sendi yang bengkak sambil dibalut. Biarkan selama 1-2 jam, lalu balutan dilepaskan. Lakukan perawatan seperti ini 2-3 kali sehari."
Bandotan,"Bandotan (Ageratum conyzoides) mengandung senyawa tanin dan saponin yang memiliki sifat antiinflamasi, antibakteri, dan antimikroba. Senyawa-senyawa ini dapat membantu mengurangi peradangan, membunuh bakteri dan mikroba penyebab infeksi, serta membantu mempercepat penyembuhan pendarahan rahim, sariawan, bisul, dan memar.","Rebus 10-15 g herba bandotan dalam dua gelas air bersih sampai tersisa menjadi satu gelas. Setelah dingin, saring dan air saringannya diminum sekaligus. Lakukan 2-3 kali sehari."
Bandotan,"Bandotan (Ageratum conyzoides) mengandung senyawa flavonoid yang memiliki sifat antikanker. Senyawa ini dapat membantu menghambat pertumbuhan dan penyebaran sel tumor, termasuk tumor rahim.","Rebus 30-60 g herba bandotan kering segar atau 15-30 g herba kering dalam tiga gelas air sampai tersisa menjadi satu gelas. Selain direbus, herba segar dapat juga ditumbuk. Air rebusan atau air perasannya diminum satu gelas sehari."
Bandotan,Bandotan (Ageratum conyzoides) mengandung senyawa tanin dan saponin yang memiliki sifat antiinflamasi dan antibakteri. Senyawa-senyawa ini dapat membantu mengurangi peradangan dan membunuh bakteri penyebab infeksi tenggorokan.,"Cuci 30-60 g daun bandotan segar sampai bersih, lalu tumbuk sampai halus. Selanjutnya, peras dan saring. Tambahkan larutan gula batu ke dalam air perasan secukupnya dan aduk sampai rata. Minum ramuan dan lakukan tiga kali sehari."
Bandotan,Bandotan (Ageratum conyzoides) mengandung senyawa flavonoid dan saponin yang memiliki sifat antimalaria dan antivirus. Senyawa-senyawa ini dapat membantu melawan parasit malaria dan virus influenza.,"Rebus 15-30 g herba bandotan kering dalam dua gelas air sampai tersisa menjadi satu gelas. Setelah dingin, saring dan minum sekaligus. Lakukan dua kali sehari."
Bandotan,"Bandotan (Ageratum conyzoides) mengandung senyawa tanin dan saponin yang memiliki sifat antiinflamasi dan antispasmodik. Senyawa-senyawa ini dapat membantu mengurangi peradangan dan kontraksi otot polos, sehingga dapat membantu meredakan gejala perut kembung, mulas, dan muntah.","Cuci satu buah tumbuhan bandotan ukuran sedang sampai bersih, lalu potong-potong seperlunya. Rebus dalam tiga gelas air sampai tersisa menjadi satu gelas. Setelah dingin, saring dan minum sekaligus. Lakukan pengobatan ini 2-3 kali sehari sampai sembuh."
Bandotan,"Bandotan (Ageratum conyzoides) mengandung senyawa saponin dan flavonoid yang memiliki sifat antimikroba, antiinflamasi, dan antioksidan. Senyawa-senyawa ini dapat membantu mengatasi berbagai masalah rambut, seperti ketombe, rambut rontok, dan rambut kusam.","Cuci, daun dan batang bandotan segar sampai bersih, lalu tumbuk sampai halus. Oleskan hasil tumbukan ke seluruh kulit kepala dan rambut. Tutup kepala dengan sepotong kain. Biarkan selama 2-3 jam. Selanjutnya, bilas rambut."
Bangle,"Bangle (Zingiber purpureum) mengandung senyawa flavonoid, saponin, dan minyak atsiri yang memiliki sifat antipiretik, antiinflamasi, dan antimikroba. Senyawa-senyawa ini dapat membantu menurunkan demam, mengurangi peradangan, dan melawan infeksi penyebab masuk angin.","15 g rimpang bangle yang segar dicuci lalu diparut. Tambahkan 1⁄2 cangkir air panas dan 2 sendok makan madu. Diaduk merata lalu diperas dan disaring, minum. Lakukan 2 kali sehari."
Bangle,"Bangle (Zingiber purpureum) mengandung senyawa saponin dan flavonoid yang memiliki sifat antispasmodik. Senyawa-senyawa ini dapat membantu mengurangi kontraksi otot polos di saluran pencernaan, sehingga dapat membantu meredakan gejala perut mulas","Rimpang bangle, rimpang jahe, kencur dan lempuyang wangi, masing-masing 1⁄2 jari tangan dicuci lalu diiris tipis-tipis. Rebus dengan 1 gelas air bersih sampai tersisa 1⁄2 gelas. Setelah dingin disaring, lalu diminum."
Bangle,"Bangle (Zingiber purpureum) mengandung senyawa flavonoid dan minyak atsiri yang memiliki sifat antiinflamasi dan analgesik. Senyawa-senyawa ini dapat membantu mengurangi peradangan dan nyeri, sehingga dapat membantu meredakan sakit kepala karena demam.",Rimpang segar secukupnya dicuci bersih lalu diparut. Tambahkan sedikit air sampai menjadi adonan seperti bubur. Dipakai sebagai pilis pada dahi.
Bangle,"Bangle (Zingiber purpureum) mengandung senyawa flavonoid, tanin, dan minyak atsiri yang memiliki sifat diuretik dan antioksidan. Senyawa-senyawa ini dapat membantu mengeluarkan bilirubin dari tubuh, sehingga dapat membantu meredakan gejala sakit kuning.","1⁄2 jari rimpang bangle dicuci bersih lalu diparut. Tambahkan air masak dan madu masing-masing 1 sendok makan. Peras dan saring, minum. Lakukan 2 kali sehari."
Bangle,"Bangle (Zingiber purpureum) mengandung senyawa flavonoid, minyak atsiri, dan saponin yang memiliki sifat antiinflamasi dan analgesik. Senyawa-senyawa ini dapat membantu mengurangi peradangan dan nyeri, sehingga dapat membantu meredakan nyeri sendi (rheumatism).","Rimpang segar secukupnya dicuci lalu diparut, tambahkan arak sampai menjadi adonan seperti bubur encer. Borehkan kebagian sendi yang sakit."
Bangle,"Bangle (Zingiber purpureum) mengandung senyawa flavonoid, saponin, dan minyak atsiri yang memiliki sifat diuretik, antiinflamasi, dan antioksidan. Senyawa-senyawa ini dapat membantu mengeluarkan cairan berlebih dari tubuh, mengurangi peradangan, dan melindungi sel-sel dari kerusakan, sehingga dapat membantu mengecilkan perut pasca melahirkan.","Rimpang bangle secukupnya dicuci lalu diparut, borehkan pada perut."
Bangle,"Bangle (Zingiber purpureum) mengandung senyawa seskuiterpen yang memiliki sifat anthelmintik. Senyawa ini dapat membunuh cacing-cacing parasit di dalam tubuh, sehingga dapat membantu mengatasi cacingan.","3 jari rimpang bangle, 2 jari temu hitam, 5 biji ketumbar dan 5 lembar tangkai daun sirih dicuci lalu diiris tipis-tipis, kemudian ditumbuk halus. Tambahkan 1⁄2 cangkir air masak, diaduk merata lalu diperas dan disaring. Minum."
Bangle,"Bangle (Zingiber purpureum) mengandung senyawa flavonoid, tanin, dan minyak atsiri yang memiliki sifat antiinflamasi dan antimikroba. Senyawa-senyawa ini dapat membantu mengurangi peradangan dan melawan infeksi bakteri di selaput mata, sehingga dapat membantu mengatasi radang selaput mata.","Rimpang bangle dan kunyit sebesar 1 buku jari tangan dan 13 butir jinten hitam dicuci bersih lalu dipotong-potong seperlunya. Rebus dengan 1 gelas air bersih sampai tersisa setengahnya. Setelah dingin disaring, minum."
Bangle,"Bangle (Zingiber purpureum) mengandung senyawa flavonoid, tanin, dan minyak atsiri yang memiliki sifat antiinflamasi, antioksidan, dan diuretik. Senyawa-senyawa ini dapat membantu mengurangi peradangan, melindungi sel-sel dari kerusakan, dan mengeluarkan cairan berlebih dari tubuh, sehingga dapat membantu menurunkan berat badan.","Sepotong rimpang bangle dan 7 lembar daun jati belanda dicuci lalu direbus dengan 1,5 gelas air bersih sampai tersisa 1 gelas. Setelah dingin disaring, dibagi untuk 2 kali minum. Pagi dan sore hari."
Baru Cina,"Baru cina (Artemisia vulgaris) mengandung senyawa flavonoid, tanin, dan saponin yang memiliki sifat hemostatik, antiinflamasi, dan antioksidan. Senyawa-senyawa ini dapat membantu menghentikan pendarahan, mengurangi peradangan, dan melindungi sel-sel dari kerusakan, sehingga dapat membantu pemulihan pasca pendarahan melahirkan.","4 pohon baru cina direbus dengan 6 gelas air, sampai tersisa 2 gelas. Diminum sehari 2 x 1 gelas sebelum makan."
Baru Cina,"Baru cina (Artemisia vulgaris) mengandung senyawa flavonoid, saponin, dan alkaloid yang memiliki sifat afrodisiak, antiinflamasi, dan antioksidan. Senyawa-senyawa ini dapat membantu meningkatkan libido, mengurangi peradangan, dan melindungi sel-sel dari kerusakan, sehingga dapat membantu mengatasi lemah syahwat.","15-45 gram biji digiling halus, makan."
Baru Cina,"Baru cina (Artemisia vulgaris) mengandung senyawa alkaloid yang memiliki sifat antikonvulsan. Senyawa ini dapat membantu menghambat aktivitas saraf yang berlebihan, sehingga dapat membantu mengatasi kejang pada penderita epilepsi.","1 genggam akar Artemisia, 1 ibu jari jahe dan 1 ibu jari gula enau direbus dengan 4 gelas air, sampai rebusan menjadi 2 gelas. Diminum 2 x 1 gelas per hari."
Baru Cina,"Baru cina (Artemisia vulgaris) mengandung senyawa flavonoid, saponin, dan tanin yang memiliki sifat antibakteri, antiinflamasi, dan analgesik. Senyawa-senyawa ini dapat membantu melawan infeksi bakteri, mengurangi peradangan, dan meredakan nyeri di tenggorokan, sehingga dapat membantu mengatasi sakit tenggorokan.","Herba segar ditumbuk, peras, minum airnya."
Baru Cina,"Baru cina (Artemisia vulgaris) mengandung senyawa flavonoid, saponin, dan tanin yang memiliki sifat antibakteri, antiinflamasi, dan antidiare. Senyawa-senyawa ini dapat membantu melawan infeksi bakteri, mengurangi peradangan, dan menghentikan diare, sehingga dapat membantu mengatasi disentri.","Barucina dan jahe segar, direbus sampai kental, minum 3 x sehari."
Bawang Merah,"Bawang merah (Allium cepa) mengandung senyawa belerang yang memiliki sifat antibakteri, antiinflamasi, dan ekspektoran. Senyawa-senyawa ini dapat membantu melawan infeksi bakteri, mengurangi peradangan, dan mengencerkan dahak, sehingga dapat membantu mengatasi batuk.","4 gram umbi bawang merah, 4 gram daun poko segar, 3 gram daun sembung segar, 4 gram herba pegagan segar, 2 gram buah adas, dan 125 ml air. dipipis atau dibuat pil. diminum sehari 1 kali, pagi hari 100 ml. apabila dipipis diminum 1 kali sehari 1⁄4 cangkir. pil diminum 3 kali sehari 9 pil. diulang selama 14 hari."
Bawang Merah,"Bawang merah adalah tanaman herbal yang telah lama digunakan sebagai obat tradisional untuk berbagai macam penyakit, termasuk kencing manis. Kandungan quercetin, kuersetin, dan antosianin dalam bawang merah memiliki sifat antidiabetes, yang dapat membantu menurunkan kadar gula darah.","4 gram umbi bawang merah, 15 gram buah buncis, 10 helai daun salam, ketiganya dirajang. ditambah 120 ml air. diminum sehari 1 kali 100 ml. diulang selama 14 hari."
